id,jobTitle,emailAddress,firstName,lastName,salary,amoutAddToSalary,phoneNumber,downStreamType
300001,Global Logistics Supervisor,Darlene_Sanchez3398@bulaffy.com,Darlene,Sanchez,78261,767,387139337,file
300002,Webmaster,Jack_Richardson7479@qater.org,Jack,Richardson,63541,538,1118173610,db
,,Rita_Sherwood707@jiman.org,Rita,Sherwood,65200,631,1136585815,rest
,Cara_Collingwood818@bauros.biz,Cara,Collingwood,42225,231,87096909,file,
300005,Pharmacist,Roger_Hope4106@womeona.net,Roger,Hope,77835,259,52188004,db
300006,Laboratory Technician,Mandy_Fenton3633@bretoux.com,Mandy,Fenton,50867,198,1062973077,rest
300007,CNC Operator,Ivy_Pickard8052@bauros.biz,Ivy,Pickard,50418,820,1909636886,file
300008,Healthcare Specialist,Tyson_Shields6950@vetan.org,Tyson,Shields,90974,538,1216021256,db
300009,Treasurer,Amy_Roman9604@guentu.biz,Amy,Roman,35632,497,1131612573,rest
300010,Front Desk Coordinator,Alessandra_Harvey2821@infotech44.tech,Alessandra,Harvey,31987,984,1784109278,file
300011,Dentist,Sebastian_Denton8671@vetan.org,Sebastian,Denton,46949,182,198932049,db
